                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     79,               0.024098,               0.018522,               0.014163,                      0,                0.92873,                0.77735,                0.85393,                0.64172,                0.92644,                0.77543,                0.84851,                0.63023,               0.028371,                0.02046,               0.015169,                      0,              0.0084556,              0.0084556,              0.0084556
                     80,               0.023795,               0.018573,               0.014819,                      0,                0.90625,                0.77927,                0.85853,                0.65735,                0.90625,                0.77927,                0.85486,                0.63969,               0.027735,               0.020748,               0.016217,                      0,              0.0084358,              0.0084358,              0.0084358
                     81,               0.023858,               0.018765,               0.014457,                      0,                0.88417,                0.79114,                 0.8595,                 0.6449,                0.88964,                0.78311,                0.85646,                0.62288,               0.028275,               0.020908,               0.015526,                      0,               0.008416,               0.008416,               0.008416
                     82,               0.023614,               0.018196,               0.014454,                      0,                0.90539,                0.78978,                0.87566,                0.64807,                0.91624,                0.77927,                0.86426,                 0.6163,               0.028327,               0.020901,               0.014688,                      0,              0.0083962,              0.0083962,              0.0083962
                     83,               0.024396,               0.018245,                0.01414,                      0,                0.92665,                0.76967,                0.85887,                0.64423,                0.92203,                0.76583,                0.84733,                0.61766,               0.028287,               0.021477,               0.015393,                      0,              0.0083764,              0.0083764,              0.0083764
                     84,               0.023457,               0.018347,               0.014275,                      0,                0.92605,                0.77159,                0.86317,                0.64979,                0.92623,                0.76392,                0.85334,                0.63106,               0.027723,               0.020811,               0.015189,                      0,              0.0083566,              0.0083566,              0.0083566
                     85,                0.02347,               0.018367,               0.014159,                      0,                0.87502,                 0.8215,                 0.8777,                0.65221,                0.89013,                0.79846,                0.86355,                0.62887,                0.02746,               0.021094,               0.014552,                      0,              0.0083368,              0.0083368,              0.0083368
                     86,                0.02367,               0.017889,               0.013822,                      0,                0.89925,                0.78805,                 0.8645,                0.64913,                0.91841,                  0.762,                0.85409,                0.62076,                0.02868,               0.020688,               0.014626,                      0,               0.008317,               0.008317,               0.008317
                     87,               0.022949,               0.017836,               0.013731,                      0,                0.87566,                0.80422,                0.86821,                0.65298,                0.86965,                0.79846,                0.86089,                0.63232,               0.027382,                0.02045,               0.015753,                      0,              0.0082972,              0.0082972,              0.0082972
                     88,               0.023061,               0.017926,               0.013969,                      0,                0.92009,                 0.7956,                0.86422,                0.66122,                0.91565,                0.79176,                0.85852,                0.63644,               0.026839,               0.020069,               0.015755,                      0,              0.0082774,              0.0082774,              0.0082774
                     89,               0.023873,               0.018098,               0.014068,                      0,                0.89535,                0.80466,                0.87502,                0.66465,                0.89447,                0.79846,                0.86918,                0.64785,               0.027134,               0.020413,               0.014999,                      0,              0.0082576,              0.0082576,              0.0082576
                     90,               0.023468,               0.017993,               0.013835,                      0,                0.91155,                 0.7912,                0.87436,                0.65467,                0.90934,                0.78929,                0.86557,                0.63384,               0.027515,               0.020575,               0.014474,                      0,              0.0082378,              0.0082378,              0.0082378
                     91,               0.022993,               0.018392,               0.013517,                      0,                 0.9092,                0.76881,                0.85363,                0.65134,                 0.9092,                0.76881,                0.84535,                0.61204,               0.028499,               0.021422,               0.015793,                      0,               0.008218,               0.008218,               0.008218
                     92,               0.023197,               0.017851,               0.013903,                      0,                 0.9229,                0.78118,                0.87319,                0.65999,                 0.9161,                0.77543,                0.86445,                0.62687,               0.027223,                0.02065,               0.014331,                      0,              0.0081982,              0.0081982,              0.0081982
