                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     74,               0.019779,               0.015575,               0.011344,                      0,                0.92755,                0.81766,                0.87883,                0.69863,                0.92168,                0.80614,                0.87199,                0.66149,               0.025762,               0.019335,               0.014371,                      0,              0.0085546,              0.0085546,              0.0085546
                     75,               0.018987,               0.016065,               0.011464,                      0,                0.94913,                0.78793,                0.87928,                0.69869,                0.94452,                0.78425,                0.87082,                0.64682,               0.024789,               0.020357,               0.014179,                      0,              0.0085348,              0.0085348,              0.0085348
                     76,               0.018777,               0.015727,               0.011222,                      0,                0.91956,                0.81189,                 0.8719,                0.70292,                0.91028,                0.80422,                0.86485,                0.66216,               0.024739,                0.01953,                0.01461,                      0,               0.008515,               0.008515,               0.008515
                     77,               0.019577,               0.015833,               0.011603,                      0,                0.92668,                0.80038,                0.88466,                0.71524,                0.91357,                0.79122,                0.87178,                0.66963,               0.024304,                0.01895,               0.014249,                      0,              0.0084952,              0.0084952,              0.0084952
                     78,               0.018711,               0.015675,               0.010942,                      0,                 0.9237,                 0.8133,                0.88655,                0.71609,                0.92479,                0.80248,                0.87467,                0.67299,               0.023858,               0.018858,               0.013906,                      0,              0.0084754,              0.0084754,              0.0084754
                     79,               0.018878,               0.015459,               0.011442,                      0,                 0.9403,                 0.8162,                0.89767,                0.71479,                0.93921,                0.80069,                0.88902,                0.67239,               0.023991,               0.019611,               0.014442,                      0,              0.0084556,              0.0084556,              0.0084556
                     80,               0.019184,               0.014871,               0.011457,                      0,                0.94873,                0.81691,                0.87536,                0.69956,                0.93758,                0.80731,                0.86478,                0.65368,               0.025329,               0.019827,               0.014866,                      0,              0.0084358,              0.0084358,              0.0084358
                     81,               0.018734,               0.014961,               0.010777,                      0,                0.91187,                0.83414,                0.88581,                 0.7102,                0.93166,                0.80422,                0.87712,                0.66141,               0.024642,               0.018972,               0.013732,                      0,               0.008416,               0.008416,               0.008416
                     82,                0.01838,               0.015289,               0.010721,                      0,                0.94886,                0.81907,                0.87981,                0.71317,                0.93996,                0.81139,                0.87112,                0.66143,               0.023942,               0.019097,               0.014301,                      0,              0.0083962,              0.0083962,              0.0083962
                     83,               0.018513,               0.015195,               0.010764,                      0,                0.94114,                0.83685,                0.89867,                0.72335,                 0.9352,                0.83108,                0.89247,                0.68308,               0.023612,               0.019265,               0.013285,                      0,              0.0083764,              0.0083764,              0.0083764
                     84,               0.018529,               0.015218,               0.010912,                      0,                0.93955,                0.80543,                0.89148,                0.71284,                0.93953,                0.80515,                0.88848,                0.66888,               0.024041,               0.019332,               0.013586,                      0,              0.0083566,              0.0083566,              0.0083566
                     85,               0.018771,               0.014969,               0.010977,                      0,                0.94013,                0.81374,                0.87884,                0.70927,                0.91858,                0.81766,                0.87537,                0.66184,               0.024362,               0.019191,               0.015202,                      0,              0.0083368,              0.0083368,              0.0083368
                     86,               0.018665,               0.014625,               0.010845,                      0,                 0.9455,                0.79916,                0.89063,                0.71558,                0.93869,                 0.7934,                0.88298,                0.67165,               0.024291,               0.018925,               0.014195,                      0,               0.008317,               0.008317,               0.008317
                     87,               0.018778,               0.015466,               0.011532,                      0,                 0.9536,                0.80614,                0.87427,                0.70478,                0.94525,                0.79846,                0.86183,                0.66017,               0.024294,               0.019572,               0.014813,                      0,              0.0082972,              0.0082972,              0.0082972
                     88,               0.018163,                0.01489,               0.010789,                      0,                0.93459,                0.79655,                0.87585,                0.70761,                0.96617,                0.76392,                0.86699,                 0.6636,               0.024697,               0.019183,               0.015143,                      0,              0.0082774,              0.0082774,              0.0082774
                     89,               0.018337,               0.015131,               0.010717,                      0,                0.94631,                0.80422,                0.88042,                0.72142,                0.95538,                0.79271,                0.87908,                0.67513,               0.023946,               0.019452,               0.014786,                      0,              0.0082576,              0.0082576,              0.0082576
                     90,               0.017853,               0.014776,               0.010565,                      0,                0.94012,                0.81359,                0.89516,                0.72055,                0.93536,                0.79846,                0.88047,                0.67396,               0.024259,               0.018951,               0.013884,                      0,              0.0082378,              0.0082378,              0.0082378
                     91,               0.018524,               0.014654,               0.010849,                      0,                0.93554,                0.80806,                0.88257,                0.71319,                0.93728,                0.79846,                0.87472,                0.66935,               0.025121,               0.019259,               0.013945,                      0,               0.008218,               0.008218,               0.008218
                     92,               0.018043,               0.014934,               0.010866,                      0,                0.93609,                0.81532,                0.89162,                0.71485,                0.92126,                0.80847,                 0.8843,                0.67706,               0.023797,               0.019366,               0.013958,                      0,              0.0081982,              0.0081982,              0.0081982
