                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     45,               0.025661,               0.017638,               0.014275,                      0,                0.87108,                0.75497,                0.80276,                0.58188,                0.91285,                0.73743,                0.79466,                0.58766,               0.028398,                0.02132,               0.011446,                      0,              0.0091288,              0.0091288,              0.0091288
                     46,                0.02572,               0.018161,               0.014814,                      0,                0.89566,                0.71932,                0.79736,                0.56118,                0.89423,                0.72067,                0.80267,                 0.5748,               0.030196,               0.021018,               0.011569,                      0,               0.009109,               0.009109,               0.009109
                     47,               0.025254,               0.017891,               0.013498,                      0,                0.93601,                0.74302,                0.81316,                0.60173,                 0.9423,                 0.7486,                0.82318,                0.60224,               0.028801,               0.021323,               0.010968,                      0,              0.0090892,              0.0090892,              0.0090892
                     48,               0.025751,               0.018269,               0.013937,                      0,                 0.8676,                0.76876,                0.82274,                0.59376,                0.88838,                 0.7486,                0.81883,                0.56394,               0.029293,               0.021833,               0.011316,                      0,              0.0090694,              0.0090694,              0.0090694
                     49,               0.024145,               0.017749,               0.013592,                      0,                0.83111,                0.74302,                0.80562,                0.59009,                0.86258,                 0.7095,                0.79133,                0.56562,               0.026958,               0.021183,               0.011505,                      0,              0.0090496,              0.0090496,              0.0090496
                     50,               0.025177,               0.018185,               0.013505,                      0,                0.86531,                0.76536,                0.82816,                0.57115,                0.86531,                0.76536,                0.82977,                0.59184,               0.028463,               0.020192,                0.01106,                      0,              0.0090298,              0.0090298,              0.0090298
                     51,               0.024771,               0.017563,               0.013215,                      0,                0.94661,                0.69832,                0.80256,                 0.5805,                0.94661,                0.69832,                0.80581,                0.57219,               0.027946,               0.019835,               0.011556,                      0,                0.00901,                0.00901,                0.00901
                     52,               0.024219,               0.018003,               0.013262,                      0,                0.84215,                0.74302,                0.78464,                0.56484,                0.85481,                0.75419,                0.79252,                0.56941,                0.02846,               0.018493,               0.011451,                      0,              0.0089902,              0.0089902,              0.0089902
                     53,               0.024755,               0.017882,               0.012889,                      0,                0.94145,                0.70391,                0.81074,                0.57972,                0.96872,                0.69204,                0.80853,                0.56937,               0.028786,               0.021187,               0.011785,                      0,              0.0089704,              0.0089704,              0.0089704
                     54,               0.024472,               0.017853,               0.013515,                      0,                0.88759,                0.72626,                 0.8068,                0.58738,                0.88759,                0.72626,                0.79888,                0.58608,               0.026445,               0.019083,               0.011244,                      0,              0.0089506,              0.0089506,              0.0089506
                     55,               0.023446,               0.017081,               0.012261,                      0,                 0.9326,                0.68715,                0.78522,                0.56696,                0.88539,                 0.7095,                0.78678,                0.56942,               0.030472,               0.020843,               0.012601,                      0,              0.0089308,              0.0089308,              0.0089308
                     56,               0.024196,               0.017737,               0.013462,                      0,                0.92284,                0.72626,                0.83093,                0.60712,                0.92284,                0.72626,                0.81689,                0.59019,               0.027492,               0.019999,               0.010683,                      0,               0.008911,               0.008911,               0.008911
                     57,               0.024677,                0.01755,                0.01291,                      0,                0.92626,                0.73184,                  0.817,                0.60241,                0.92032,                 0.7098,                0.80355,                0.59959,               0.026572,               0.019326,                0.01118,                      0,              0.0088912,              0.0088912,              0.0088912
                     58,               0.024705,               0.017958,               0.012893,                      0,                0.87635,                0.71269,                0.80037,                0.56573,                0.87635,                0.71269,                0.79807,                0.56021,               0.029773,               0.021516,                0.01201,                      0,              0.0088714,              0.0088714,              0.0088714
                     59,               0.023255,               0.017095,               0.012809,                      0,                0.85028,                0.76146,                0.81863,                0.60519,                0.85028,                0.76146,                0.81887,                 0.5922,                0.02682,               0.021753,               0.011338,                      0,              0.0088516,              0.0088516,              0.0088516
                     60,               0.023543,               0.017396,               0.013062,                      0,                0.93041,                0.75978,                0.82389,                0.59304,                 0.9231,                0.75419,                0.81944,                0.59491,               0.027218,               0.020279,               0.011298,                      0,              0.0088318,              0.0088318,              0.0088318
                     61,               0.023474,               0.017295,               0.012444,                      0,                0.91789,                0.69832,                0.78391,                0.57772,                0.91789,                0.69832,                 0.7875,                0.55795,               0.028771,               0.021486,               0.011635,                      0,               0.008812,               0.008812,               0.008812
                     62,               0.024251,               0.018093,               0.014041,                      0,                0.90831,                0.72067,                0.80783,                0.61159,                0.90109,                0.71508,                0.80397,                0.57582,               0.028456,               0.021042,               0.011046,                      0,              0.0087922,              0.0087922,              0.0087922
                     63,               0.024237,               0.016237,               0.012704,                      0,                0.95067,                0.75364,                0.82821,                0.61203,                0.94365,                0.74841,                0.82892,                0.61368,               0.027952,               0.020654,                0.01071,                      0,              0.0087724,              0.0087724,              0.0087724
                     64,               0.023831,               0.016662,               0.012871,                      0,                0.96261,                0.71919,                0.80501,                0.60316,                0.94222,                0.72877,                0.81746,                 0.5988,               0.028022,               0.018593,               0.011384,                      0,              0.0087526,              0.0087526,              0.0087526
                     65,               0.023318,               0.016726,               0.012115,                      0,                0.84935,                0.72442,                0.79363,                0.57092,                 0.8428,                0.71883,                0.79255,                0.57921,               0.028235,               0.019977,               0.011415,                      0,              0.0087328,              0.0087328,              0.0087328
                     66,               0.023302,               0.016985,                0.01285,                      0,                0.90468,                0.69832,                0.79399,                0.57883,                0.90468,                0.69832,                0.79353,                 0.5556,                0.03049,               0.022921,               0.012037,                      0,               0.008713,               0.008713,               0.008713
                     67,               0.022933,               0.016526,                0.01311,                      0,                0.87984,                0.73743,                0.80085,                0.57279,                0.87984,                0.73743,                0.79661,                0.58592,               0.028238,               0.021601,               0.011221,                      0,              0.0086932,              0.0086932,              0.0086932
                     68,               0.023359,               0.016202,               0.011864,                      0,                0.86618,                0.75935,                 0.8212,                0.59482,                0.86618,                0.75935,                 0.8171,                0.60222,               0.026945,               0.020196,               0.011106,                      0,              0.0086734,              0.0086734,              0.0086734
                     69,               0.023009,                0.01607,                0.01208,                      0,                0.96982,                0.71814,                0.81747,                0.60533,                 0.9472,                0.70159,                0.80025,                0.59298,               0.027508,               0.020424,               0.011514,                      0,              0.0086536,              0.0086536,              0.0086536
                     70,               0.022213,               0.015683,               0.011445,                      0,                0.89258,                0.76536,                0.82458,                0.60785,                0.87273,                 0.7486,                0.79494,                0.59057,               0.029049,                0.02055,               0.011774,                      0,              0.0086338,              0.0086338,              0.0086338
                     71,               0.022612,               0.016354,               0.011921,                      0,                0.88046,                0.78771,                0.82667,                0.61951,                0.87401,                0.78212,                0.82019,                0.60837,               0.027326,               0.020423,               0.011801,                      0,               0.008614,               0.008614,               0.008614
                     72,                0.02208,               0.016049,               0.012376,                      0,                0.91808,                0.75128,                0.82586,                0.59278,                0.91125,                0.74569,                0.81117,                0.59117,               0.028592,               0.020451,               0.011837,                      0,              0.0085942,              0.0085942,              0.0085942
                     73,               0.022777,               0.015614,               0.012417,                      0,                0.92032,                0.76536,                0.84292,                0.60754,                0.91361,                0.75978,                0.82862,                0.61901,               0.026986,               0.019955,               0.010424,                      0,              0.0085744,              0.0085744,              0.0085744
                     74,                0.02204,               0.015485,               0.011407,                      0,                0.88757,                0.79382,                0.84352,                 0.6288,                0.88137,                0.78864,                0.83625,                0.60954,               0.025755,               0.019789,               0.010404,                      0,              0.0085546,              0.0085546,              0.0085546
                     75,               0.022673,               0.016039,               0.011953,                      0,                0.91052,                0.76536,                0.82706,                0.62694,                0.90083,                 0.7612,                0.82761,                0.61634,               0.025018,               0.021217,               0.010392,                      0,              0.0085348,              0.0085348,              0.0085348
                     76,               0.022385,               0.016266,               0.012206,                      0,                0.91596,                0.74302,                0.82604,                0.62017,                0.90525,                0.73743,                0.82934,                0.59302,               0.026506,               0.020379,               0.011117,                      0,               0.008515,               0.008515,               0.008515
                     77,               0.021806,               0.016212,                0.01256,                      0,                0.94164,                0.73184,                0.80961,                0.59975,                0.91977,                0.72626,                0.81282,                0.60316,               0.025415,                0.02219,                0.01098,                      0,              0.0084952,              0.0084952,              0.0084952
                     78,               0.022777,               0.016777,               0.012478,                      0,                0.95345,                 0.7095,                 0.8183,                0.62126,                0.95345,                 0.7095,                  0.815,                0.60906,               0.025465,               0.020441,               0.010575,                      0,              0.0084754,              0.0084754,              0.0084754
                     79,               0.022111,               0.015312,               0.012668,                      0,                 0.8717,                0.79709,                0.81622,                0.62271,                0.86559,                 0.7915,                0.82845,                0.60315,               0.026141,               0.020049,               0.010388,                      0,              0.0084556,              0.0084556,              0.0084556
                     80,               0.020838,               0.015016,               0.011242,                      0,                0.91088,                0.77095,                0.82943,                0.63621,                0.92408,                0.78212,                0.83764,                0.63966,               0.025708,               0.019438,               0.010275,                      0,              0.0084358,              0.0084358,              0.0084358
                     81,               0.021989,               0.016055,               0.011983,                      0,                0.92674,                0.75978,                0.83206,                0.62369,                0.93355,                0.76536,                0.83625,                0.61386,               0.026786,               0.020488,               0.010569,                      0,               0.008416,               0.008416,               0.008416
                     82,               0.021495,               0.015357,               0.011757,                      0,                0.91854,                0.75419,                0.81243,                0.62554,                0.90457,                0.74302,                0.80993,                0.58857,                0.02609,               0.020856,               0.011187,                      0,              0.0083962,              0.0083962,              0.0083962
                     83,               0.020468,               0.015754,               0.011449,                      0,                0.85788,                0.74191,                0.80926,                0.61312,                0.84496,                0.73073,                0.79553,                0.59289,               0.025827,               0.019387,               0.011252,                      0,              0.0083764,              0.0083764,              0.0083764
                     84,               0.021314,               0.015875,               0.012449,                      0,                0.90239,                0.75419,                 0.8413,                 0.6334,                 0.8957,                 0.7486,                0.83754,                0.61205,               0.025931,               0.020231,               0.010452,                      0,              0.0083566,              0.0083566,              0.0083566
                     85,               0.020873,               0.015431,               0.011596,                      0,                0.85145,                0.76849,                0.83415,                0.62964,                0.83938,                0.75908,                0.83245,                0.59727,               0.025419,               0.019731,               0.010621,                      0,              0.0083368,              0.0083368,              0.0083368
                     86,               0.021007,                0.01487,               0.011266,                      0,                0.93677,                0.77095,                0.86273,                0.63927,                0.93677,                0.77095,                0.85628,                0.64538,               0.024494,               0.019086,               0.010293,                      0,               0.008317,               0.008317,               0.008317
                     87,               0.021658,               0.015373,               0.010449,                      0,                0.89754,                0.78212,                0.86399,                0.64294,                0.88838,                0.77095,                0.85518,                0.64883,               0.025457,               0.019384,               0.010324,                      0,              0.0082972,              0.0082972,              0.0082972
                     88,               0.020774,               0.014618,                0.01103,                      0,                0.91127,                0.74302,                 0.8312,                0.62472,                0.90442,                0.73743,                0.82194,                0.60204,               0.025745,               0.019795,               0.011019,                      0,              0.0082774,              0.0082774,              0.0082774
                     89,               0.020926,                0.01479,               0.011023,                      0,                0.87438,                0.73886,                0.80206,                0.61012,                0.87438,                0.73886,                0.79715,                0.59526,               0.026736,               0.020853,               0.011634,                      0,              0.0082576,              0.0082576,              0.0082576
                     90,               0.020135,               0.014701,               0.011114,                      0,                  0.906,                0.75386,                0.83554,                0.62668,                0.92617,                0.73184,                0.83123,                0.62466,               0.026146,               0.020016,               0.010527,                      0,              0.0082378,              0.0082378,              0.0082378
                     91,                 0.0211,               0.015614,               0.011024,                      0,                0.90547,                0.78212,                0.82673,                0.63143,                  0.899,                0.77654,                 0.8189,                0.61948,               0.025108,               0.019298,               0.010654,                      0,               0.008218,               0.008218,               0.008218
                     92,               0.019104,               0.014785,               0.010508,                      0,                0.95898,                0.73184,                0.82913,                0.63036,                0.95166,                0.72626,                0.83045,                0.62299,               0.025702,               0.020945,               0.010027,                      0,              0.0081982,              0.0081982,              0.0081982
